Modello,Feature,Train Accuracy,Test Accuracy,Train Recall,Test Recall,Train AUC,Test AUC
Baseline (Logistic Regression),Senza Cluster,0.8052893148739794,0.8062455642299503,0.5484949832775919,0.5588235294117647,0.8492474310357225,0.8421788214627088
Baseline (Logistic Regression),Con Cluster,0.805111821086262,0.8055358410220014,0.5484949832775919,0.5588235294117647,0.8492487239012865,0.842269239711695
Decision Tree,Senza Cluster,0.8022719204827831,0.794180269694819,0.5612040133779265,0.5401069518716578,0.8476371669760115,0.8267043839933865
Decision Tree,Con Cluster,0.8022719204827831,0.794180269694819,0.5612040133779265,0.5401069518716578,0.8476371669760115,0.8267043839933865
Multi-Layer Perceptron (MLP),Senza Cluster,0.9142705005324814,0.7494677075940384,0.7812709030100334,0.42780748663101603,0.9656180988250276,0.7844351442816916
Multi-Layer Perceptron (MLP),Con Cluster,0.9103656372026979,0.7359829666430092,0.9096989966555183,0.5828877005347594,0.9722414491083673,0.7845539796946446
